Country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
India,9.186,9.877,11.379,11.323,11.69,12.085,12.832,13.287,13.735,13.761,14.221,15.427,16.589,17.737,19.153,20.108,22.177,23.7,23.309,24.442,25.428
Indonesia,2.969,3.041,3.27,3.657,3.554,3.313,3.636,3.881,3.877,4.115,3.895,4.493,4.598,5.01,5.212,5.299,5.975,6.435,5.87,6.378,6.354
Iran,3.478,3.681,3.822,3.956,4.428,4.583,4.834,5.013,5.385,5.885,6.178,6.391,7.443,7.923,8.127,8.503,9.33,9.186,9.471,9.835,9.87
Iraq,0.964,1.102,1.131,1.125,1.041,1.056,1.074,1.084,1.134,1.144,1.012,1.125,1.239,1.226,1.303,1.337,1.379,1.438,1.468,1.619,1.709
Ireland,0.398,0.42,0.431,0.458,0.489,0.532,0.565,0.601,0.629,0.622,0.618,0.644,0.663,0.697,0.692,0.693,0.62,0.634,0.585,0.571,0.576
Israel,0.606,0.643,0.662,0.679,0.704,0.716,0.723,0.809,0.782,0.846,0.857,0.88,0.805,0.878,0.895,0.891,0.864,0.955,0.915,0.957,0.928
Italy,6.823,6.724,7.032,7.067,7.159,7.376,7.5,7.568,7.615,7.637,7.866,8.065,8.111,8.064,7.959,7.894,7.358,7.655,7.48,7.201,6.976
Jamaica,0.117,0.122,0.134,0.137,0.145,0.148,0.152,0.146,0.147,0.151,0.156,0.158,0.152,0.171,0.18,0.174,0.129,0.114,0.121,0.116,0.148
Japan,20.176,20.345,20.982,21.384,21.887,21.466,21.933,22.428,22.241,22.059,22.069,22.999,22.441,22.863,22.756,22.082,20.562,22.131,20.848,20.34,20.37
Jordan,0.16,0.184,0.193,0.205,0.199,0.215,0.214,0.225,0.22,0.231,0.251,0.278,0.294,0.308,0.31,0.315,0.313,0.323,0.306,0.317,0.274
Kazakhstan,2.901,2.285,1.999,1.953,1.68,1.617,1.779,1.777,1.92,1.952,1.747,2.175,2.216,2.405,2.405,2.382,2.028,2.248,2.566,2.518,2.559
Kenya,0.128,0.132,0.139,0.145,0.135,0.149,0.143,0.143,0.145,0.151,0.162,0.17,0.184,0.203,0.204,0.189,0.198,0.223,0.241,0.242,0.236
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0.475,0.573,0.592,0.749,0.798,0.846,0.861,0.91,0.883,0.888,0.96,1.007,1.147,1.139,1.162,1.226,1.214,1.338,1.498,1.536,1.589
Kyrgyzstan,0.245,0.236,0.183,0.232,0.218,0.218,0.236,0.241,0.228,0.193,0.202,0.211,0.196,0.191,0.199,0.213,0.219,0.202,0.229,0.257,0.246
Laos,0.011,0.011,0.014,0.016,0.017,0.023,0.028,0.034,0.035,0.036,0.033,0.037,0.038,0.04,0.043,0.047,0.046,0.074,0.097,0.094,0.111
Latvia,0.169,0.162,0.172,0.172,0.161,0.16,0.148,0.154,0.161,0.154,0.16,0.176,0.185,0.184,0.173,0.165,0.165,0.171,0.162,0.17,0.16
Lebanon,0.149,0.17,0.183,0.192,0.22,0.224,0.23,0.234,0.225,0.229,0.238,0.228,0.219,0.194,0.179,0.229,0.283,0.273,0.272,0.276,0.232
Lesotho,0.003,0.004,0.004,0.004,0.004,0.003,0.005,0.006,0.006,0.006,0.006,0.006,0.008,0.009,0.009,0.01,0.01,0.015,0.01,0.009,0.01
Liberia,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008
Libya,0.513,0.531,0.553,0.585,0.617,0.593,0.558,0.63,0.667,0.697,0.684,0.758,0.772,0.735,0.725,0.762,0.824,0.938,0.568,0.704,0.747
Lithuania,0.394,0.355,0.379,0.361,0.359,0.391,0.304,0.297,0.316,0.34,0.352,0.353,0.349,0.349,0.382,0.376,0.321,0.257,0.272,0.272,0.313
Luxembourg,0.127,0.13,0.125,0.132,0.136,0.138,0.146,0.155,0.163,0.17,0.179,0.201,0.203,0.201,0.197,0.197,0.186,0.197,0.193,0.189,0.185
Macau,0.017,0.019,0.019,0.021,0.021,0.023,0.024,0.022,0.024,0.026,0.027,0.032,0.029,0.035,0.036,0.033,0.033,0.029,0.032,0.036,0.037
Macedonia,0.126,0.112,0.115,0.125,0.122,0.14,0.129,0.115,0.106,0.107,0.117,0.119,0.122,0.121,0.12,0.12,0.115,0.125,0.134,0.125,0.117
Madagascar,0.019,0.021,0.022,0.022,0.023,0.023,0.023,0.031,0.033,0.038,0.039,0.043,0.042,0.041,0.042,0.036,0.033,0.033,0.032,0.038,0.055
Malawi,0.017,0.018,0.019,0.019,0.019,0.021,0.022,0.023,0.023,0.024,0.024,0.027,0.028,0.029,0.03,0.032,0.028,0.031,0.031,0.032,0.045
Malaysia,1.288,1.432,1.471,1.668,1.672,1.693,1.723,1.979,2.103,2.236,2.161,2.185,2.298,2.364,2.589,2.741,2.835,3.031,3.22,3.227,3.253
Maldives,0.002,0.003,0.005,0.005,0.004,0.005,0.005,0.007,0.007,0.013,0.015,0.01,0.008,0.011,0.013,0.013,0.015,0.015,0.015,0.015,0.016
Mali,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.014,0.014,0.014,0.015,0.016,0.016,0.017,0.016,0.019
Malta,0.036,0.036,0.034,0.035,0.037,0.039,0.045,0.039,0.033,0.039,0.039,0.04,0.041,0.039,0.041,0.078,0.088,0.105,0.094,0.094,0.081
Martinique,0.027,0.027,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.029,0.03,0.031,0.033,0.033,0.034,0.03,0.036,0.036,0.036,0.036,0.039
Mauritania,0.047,0.047,0.048,0.048,0.049,0.049,0.049,0.05,0.05,0.047,0.049,0.042,0.049,0.042,0.039,0.028,0.028,0.028,0.028,0.028,0.038
Mauritius,0.033,0.033,0.036,0.035,0.036,0.037,0.041,0.053,0.059,0.054,0.057,0.058,0.06,0.064,0.068,0.071,0.064,0.072,0.073,0.074,0.075
Mexico,5.206,5.416,5.326,5.528,5.677,5.991,6.12,6.349,6.309,6.32,6.43,6.448,6.685,6.917,7.141,7.244,6.957,7.287,7.525,7.498,7.743
Micronesia,,,,,,,,,,,,,,,,,,,,,
Moldova,0.2,0.154,0.138,0.15,0.152,0.141,0.111,0.112,0.109,0.119,0.13,0.126,0.133,0.139,0.132,0.138,0.122,0.121,0.118,0.157,0.166
Mongolia,0.099,0.093,0.1,0.075,0.062,0.061,0.062,0.063,0.065,0.07,0.066,0.071,0.072,0.082,0.085,0.091,0.09,0.097,0.14,0.155,0.164
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.036,0.043,0.04,0.055,0.046,0.045,0.048
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
Morocco,0.34,0.376,0.372,0.392,0.405,0.402,0.429,0.446,0.481,0.488,0.491,0.492,0.513,0.535,0.55,0.628,0.646,0.731,0.757,0.788,0.643
Mozambique,0.022,0.021,0.022,0.022,0.026,0.032,0.078,0.101,0.131,0.133,0.131,0.142,0.156,0.168,0.182,0.17,0.183,0.185,0.207,0.178,0.191
Myanmar,0.094,0.11,0.117,0.118,0.127,0.138,0.142,0.167,0.166,0.188,0.212,0.217,0.286,0.266,0.289,0.26,0.241,0.241,0.265,0.274,0.328
Namibia,0.024,0.023,0.032,0.031,0.03,0.033,0.039,0.042,0.047,0.05,0.054,0.057,0.059,0.063,0.065,0.067,0.066,0.063,0.067,0.068,0.077
Nauru,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
Nepal,0.023,0.027,0.03,0.034,0.036,0.044,0.056,0.058,0.062,0.059,0.061,0.063,0.069,0.068,0.07,0.073,0.079,0.089,0.087,0.089,0.095
Netherlands,3.559,3.53,3.577,3.729,3.698,3.696,3.688,3.792,3.935,3.941,4,4.114,4.204,4.149,4.237,4.205,4.047,4.251,4.045,4.031,3.935
Netherlands Antilles,0.139,0.145,0.153,0.152,0.162,0.162,0.156,0.156,0.158,0.151,0.145,0.145,0.153,0.16,0.169,0.185,0.173,0.175,0.198,0.199,0.147
New Caledonia,0.026,0.026,0.026,0.027,0.025,0.026,0.027,0.03,0.029,0.032,0.033,0.035,0.035,0.041,0.041,0.041,0.042,0.042,0.044,0.043,0.035
New Zealand,0.741,0.777,0.784,0.769,0.787,0.773,0.816,0.827,0.849,0.841,0.837,0.875,0.846,0.83,0.85,0.85,0.837,0.865,0.855,0.829,0.86
Nicaragua,0.041,0.042,0.045,0.047,0.049,0.052,0.057,0.055,0.059,0.06,0.061,0.064,0.069,0.068,0.07,0.071,0.07,0.072,0.078,0.08,0.089
Niger,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.016,0.017,0.018,0.017,0.017,0.018,0.013,0.017,0.018,0.019,0.019,0.014
Nigeria,0.795,0.743,0.832,0.849,0.851,0.816,0.817,0.809,0.911,0.935,0.978,0.984,1.082,1.029,0.91,1.027,0.904,0.808,0.827,1.139,1.236
Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Korea,0.997,0.938,0.873,0.743,0.675,0.612,0.661,0.681,0.702,0.671,0.689,0.684,0.698,0.74,0.654,0.721,0.672,0.657,0.497,0.489,0.605
Norway,1.7,1.666,1.775,1.674,1.736,1.79,1.871,1.967,1.886,1.933,1.801,1.884,1.971,1.778,1.928,1.933,1.896,1.83,1.801,1.907,1.833
Oman,0.227,0.237,0.224,0.231,0.268,0.347,0.301,0.341,0.347,0.36,0.357,0.381,0.48,0.551,0.582,0.745,0.75,0.947,0.974,1.225,1.126
Pakistan,1.403,1.529,1.595,1.671,1.685,1.719,1.804,1.846,1.799,1.813,1.909,1.967,2.14,2.385,2.482,2.469,2.506,2.609,2.544,2.638,2.651
Palestinian Territories,--,--,--,--,0.009,0.015,0.015,0.02,0.027,0.025,0.026,0.04,0.049,0.054,0.055,0.046,0.045,0.049,0.047,0.048,0.063
Panama,0.182,0.204,0.216,0.194,0.199,0.208,0.205,0.206,0.203,0.203,0.196,0.227,0.22,0.224,0.229,0.149,0.248,0.292,0.314,0.347,0.277
Papua New Guinea,0.041,0.039,0.045,0.047,0.044,0.045,0.045,0.046,0.046,0.061,0.069,0.069,0.07,0.072,0.073,0.059,0.058,0.059,0.057,0.052,0.056
Paraguay,0.261,0.302,0.348,0.363,0.401,0.408,0.424,0.43,0.379,0.394,0.418,0.415,0.41,0.425,0.425,0.443,0.436,0.438,0.466,0.478,0.464
Peru,0.425,0.449,0.471,0.499,0.48,0.498,0.509,0.523,0.532,0.541,0.55,0.581,0.608,0.669,0.677,0.773,0.752,0.878,0.906,0.971,0.859
Philippines,0.787,0.838,0.896,0.951,1.013,1.059,1.115,1.142,1.105,1.137,1.166,1.217,1.166,1.109,1.149,1.188,1.205,1.211,1.205,1.287,1.326
Poland,4.008,3.846,3.747,4.191,4.157,3.924,4.037,3.585,3.536,3.549,3.709,3.819,3.789,3.997,3.994,4.05,3.901,4.208,4.321,4.187,4.284
Portugal,0.768,0.808,0.842,0.877,0.918,0.979,1.025,1.072,1.086,1.082,1.115,1.115,1.113,1.1,1.111,1.068,1.065,1.114,1.058,0.97,1.051
Puerto Rico,0.347,0.356,0.364,0.374,0.384,0.394,0.327,0.441,0.478,0.482,0.52,0.53,0.514,0.514,0.473,0.421,0.394,0.376,0.362,0.396,0.362
